gpu_or_cpu,num_particles,block_size,num_iteration,execution_time
cpu,10,16,10000,0.000744
gpu,10,16,10000,0.000157
cpu,10,32,10000,0.000743
gpu,10,32,10000,0.000157
cpu,10,64,10000,0.000737
gpu,10,64,10000,0.000157
cpu,10,128,10000,0.000756
gpu,10,128,10000,0.000157
cpu,10,256,10000,0.000738
gpu,10,256,10000,0.000158
cpu,50,16,10000,0.003745
gpu,50,16,10000,0.000160
cpu,50,32,10000,0.003772
gpu,50,32,10000,0.000213
cpu,50,64,10000,0.003826
gpu,50,64,10000,0.000202
cpu,50,128,10000,0.003692
gpu,50,128,10000,0.000158
cpu,50,256,10000,0.003958
gpu,50,256,10000,0.000206
cpu,100,16,10000,0.007672
gpu,100,16,10000,0.001477
cpu,100,32,10000,0.007433
gpu,100,32,10000,0.000204
cpu,100,64,10000,0.007372
gpu,100,64,10000,0.000199
cpu,100,128,10000,0.007436
gpu,100,128,10000,0.000200
cpu,100,256,10000,0.007369
gpu,100,256,10000,0.000223
cpu,500,16,10000,0.037154
gpu,500,16,10000,0.000289
cpu,500,32,10000,0.037085
gpu,500,32,10000,0.000240
cpu,500,64,10000,0.036833
gpu,500,64,10000,0.000237
cpu,500,128,10000,0.036381
gpu,500,128,10000,0.000229
cpu,500,256,10000,0.036893
gpu,500,256,10000,0.000234
cpu,1000,16,10000,0.072702
gpu,1000,16,10000,0.000454
cpu,1000,32,10000,0.072663
gpu,1000,32,10000,0.000290
cpu,1000,64,10000,0.073218
gpu,1000,64,10000,0.000270
cpu,1000,128,10000,0.072888
gpu,1000,128,10000,0.000268
cpu,1000,256,10000,0.073115
gpu,1000,256,10000,0.000331
cpu,5000,16,10000,0.362700
gpu,5000,16,10000,0.001787
cpu,5000,32,10000,0.361770
gpu,5000,32,10000,0.000969
cpu,5000,64,10000,0.363828
gpu,5000,64,10000,0.000994
cpu,5000,128,10000,0.361837
gpu,5000,128,10000,0.000992
cpu,5000,256,10000,0.361844
gpu,5000,256,10000,0.000969
cpu,10000,16,10000,0.723930
gpu,10000,16,10000,0.003466
cpu,10000,32,10000,0.723606
gpu,10000,32,10000,0.001807
cpu,10000,64,10000,0.724590
gpu,10000,64,10000,0.001835
cpu,10000,128,10000,0.723424
gpu,10000,128,10000,0.001797
cpu,10000,256,10000,0.722895
gpu,10000,256,10000,0.002030
cpu,50000,16,10000,3.626104
gpu,50000,16,10000,0.020116
cpu,50000,32,10000,3.631354
gpu,50000,32,10000,0.008408
cpu,50000,64,10000,3.633812
gpu,50000,64,10000,0.008449
cpu,50000,128,10000,3.621641
gpu,50000,128,10000,0.008380
cpu,50000,256,10000,3.617599
gpu,50000,256,10000,0.008467
cpu,100000,16,10000,7.240145
gpu,100000,16,10000,0.037888
cpu,100000,32,10000,7.238781
gpu,100000,32,10000,0.017797
cpu,100000,64,10000,7.228143
gpu,100000,64,10000,0.018070
cpu,100000,128,10000,7.229559
gpu,100000,128,10000,0.017840
cpu,100000,256,10000,7.245501
gpu,100000,256,10000,0.017937
gpu,500000,16,10000,0.164911
gpu,500000,32,10000,0.082665
gpu,500000,64,10000,0.082692
gpu,500000,128,10000,0.082748
gpu,500000,256,10000,0.082848
gpu,1000000,16,10000,0.329548
gpu,1000000,32,10000,0.165118
gpu,1000000,64,10000,0.165141
gpu,1000000,128,10000,0.165120
gpu,1000000,256,10000,0.165523
gpu,5000000,16,10000,1.647648
gpu,5000000,32,10000,0.824838
gpu,5000000,64,10000,0.825125
gpu,5000000,128,10000,0.825176
gpu,5000000,256,10000,0.826749
gpu,10000000,16,10000,3.295345
gpu,10000000,32,10000,1.649964
gpu,10000000,64,10000,1.650199
gpu,10000000,128,10000,1.650721
gpu,10000000,256,10000,1.653752
